hip_angle_l,hip_flexion_l_moment
-30.35026546,-0.485610205
-30.17652585,-0.471623125
-30.00277795,-0.45841985
-29.65557521,-0.443874931
-29.30728222,-0.430799604
-28.95900584,-0.419441571
-28.62231127,-0.410961409
-28.3067976,-0.406246987
-27.99126889,-0.40338903
-27.67575522,-0.402250539
-27.22812319,-0.402444935
-26.73690466,-0.403797221
-26.2456627,-0.406019134
-25.73560659,-0.408960179
-25.11688434,-0.413325939
-24.49819159,-0.417354538
-23.87946933,-0.420640813
-23.2696166,-0.421962228
-22.66955307,-0.42088353
-22.06951816,-0.418047503
-21.46945463,-0.413220147
-20.86953848,-0.406721539
-20.26963157,-0.398116614
-19.66975326,-0.387216279
-19.08076928,-0.374312313
-18.55301224,-0.360691677
-18.02528037,-0.34505333
-17.49752333,-0.327595233
-16.94335079,-0.308353754
-16.36736258,-0.28763024
-15.79140183,-0.265875315
-15.21541362,-0.243385385
-14.58282368,-0.220827141
-13.94679363,-0.198146151
-13.31079392,-0.175599187
-12.6783065,-0.152950235
-12.05288674,-0.129946975
-11.42743716,-0.10778853
-10.80201741,-0.086659281
-10.11953969,-0.068229192
-9.4084204,-0.051872554
-8.697267199,-0.036927537
-8.006471312,-0.023380624
-7.588254486,-0.010212435
-7.170057601,0.001400117
-6.751840775,0.011454818
-6.330773901,0.020125683
-5.906360923,0.027474866
-5.481968182,0.033377921
-5.057555204,0.037908291
-4.643033782,0.038771705
-4.230166534,0.038067648
-3.817279599,0.036315613
-3.418604954,0.034152653
-3.060644622,0.032662189
-2.702701359,0.030606967
-2.344741027,0.028182737
-1.990788215,0.025877843
-1.638912937,0.023788438
-1.287054437,0.022010291
-0.935244369,0.020766221
-0.584615641,0.01984327
-0.233970193,0.020001136
0.116658535,0.021499136
0.425415952,0.025052756
0.680323431,0.031033517
0.935243066,0.039065608
1.190150545,0.049343627
1.368701464,0.061796657
1.532306947,0.076736836
1.695920231,0.094289817
1.854023856,0.114511534
1.993653572,0.137438005
2.13327663,0.162902444
2.272906345,0.190762737
2.38576365,0.221009632
2.48282726,0.253298443
2.579895499,0.287190021
2.674569049,0.322288336
2.68050209,0.35760028
2.686434848,0.393227561
2.692367889,0.428658824
2.696271667,0.463444956
2.696271667,0.49711529
2.696271667,0.528946563
2.696271667,0.558395021
2.696271667,0.584940947
2.696271667,0.608102339
2.696271667,0.627448173
2.694013845,0.642598462
2.676726952,0.653191607
2.659439234,0.659099847
2.642152341,0.660207156
2.614325161,0.656507646
2.565820319,0.648095948
2.517313163,0.635131164
2.468808321,0.617895137
2.375802138,0.596391572
2.266574424,0.571314257
2.157341501,0.543329322
2.040977065,0.512990876
1.87732615,0.480727933
1.713667432,0.447443917
1.550016517,0.413809662
1.296959067,0.380249412
0.963043799,0.347420397
0.629112609,0.316127049
0.295197341,0.286899471
-0.273528068,0.259834509
-0.861264129,0.235632489
-1.449028216,0.214598559
-2.100492057,0.197105036
-2.888781126,0.183450612
-3.677032608,0.173190332
-4.465321676,0.16620202
-5.404453052,0.162675444
-6.404298793,0.162081568
-7.404096858,0.163903738
-8.416886005,0.167861686
-9.53856829,0.174458908
-10.66030406,0.182152588
-11.78198635,0.19047052
-12.94959725,0.198907424
-14.1627724,0.2070234
-15.3760054,0.214455411
-16.5892384,0.220844049
-17.74217888,0.226261511
