motorPos,motorVel,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,moment,label
116.211,-65.8987,-5.66037,7.48503,-2.00124,-16.66,12.11,-46.06,-0.850394,0
116.879,-63.4508,-5.50341,7.62237,-2.04048,-15.4,8.26,-46.55,-0.850394,0
117.546,-61.0028,-5.60151,7.60275,-2.34459,-15.4,7.07,-47.95,-0.850394,0
118.047,-62.2268,-5.3955,7.01415,-2.21706,-16.1,13.51,-47.46,-0.850394,0
118.715,-67.1227,-5.84676,7.81857,-2.5506,-17.43,-2.38,-48.93,-0.850394,0
119.383,-62.2268,-5.77809,7.51446,-2.41326,-16.8,10.85,-48.79,-0.850394,0
120.051,-72.0187,-5.66037,7.28883,-2.41326,-15.12,1.75,-48.79,-0.850394,0
120.719,-58.5548,-5.46417,6.69042,-2.26611,-16.59,-10.85,-49.56,-0.850394,0
121.388,-64.6747,-5.65056,7.17111,-2.37402,-18.13,-8.19,-48.79,-0.850394,0
122.055,-68.3468,-5.55246,6.98472,-2.41326,-18.41,3.22,-50.19,-0.850394,0
122.723,-73.1989,-5.31702,6.71004,-2.18763,-19.25,-2.31,-52.64,-0.850394,0
123.391,-73.1989,-5.34645,6.6708,-2.22687,-19.11,2.31,-53.83,-0.850394,0
124.226,-76.8709,-5.48379,6.65118,-2.20725,-21.07,-6.02,-55.51,-0.850394,0
125.061,-84.2149,-5.57208,6.71004,-2.00124,-22.19,-6.86,-57.89,-0.850394,0
125.896,-87.8868,-5.46417,6.54327,-1.71675,-20.65,-12.25,-64.33,-0.850394,0
126.731,-95.187,-5.41512,6.3765,-1.60884,-20.37,-14.14,-67.2,-0.850394,0
127.733,-100.083,-5.42493,6.17049,-1.48131,-20.51,-22.4,-71.89,-0.850394,0
128.902,-107.383,-5.24835,5.94486,-1.34397,-18.97,-19.39,-76.44,-0.850394,0
130.071,-122.027,-5.1993,5.89581,-1.3734,-17.71,-20.44,-81.62,-0.850394,0
131.24,-128.147,-5.26797,5.67999,-1.3734,-17.15,-18.34,-88.55,-0.850394,0
132.742,-142.792,-5.31702,5.14044,-1.19682,-16.17,-12.81,-95.69,-0.850394,0
134.245,-164.78,-5.63094,4.94424,-1.21644,-15.26,-22.68,-103.11,-0.850394,0
136.082,-185.544,-5.87619,4.44393,-1.06929,-14.98,-28.84,-111.3,-0.850394,0
137.919,-194.068,-6.16068,4.16925,-0.89271,-14.28,-37.59,-126.49,-0.850394,0
139.923,-212.384,-6.40593,3.77685,-0.73575,-10.64,-43.68,-133.21,-0.850394,0
142.261,-230.7,-6.70023,3.34521,-0.35316,-8.05,-38.99,-138.95,-0.850394,0
144.598,-251.464,-6.72966,3.10977,-0.20601,-4.69,-43.82,-145.46,-0.850394,0
147.27,-264.884,-6.63156,2.82528,0,-1.47,-50.82,-151.9,-0.850394,0
150.109,-275.857,-6.41574,2.38383,-0.02943,2.45,-47.04,-157.29,-0.850394,0
152.781,-280.753,-6.17049,1.69713,-0.11772,5.25,-67.2,-162.68,-0.850394,0
155.62,-284.381,-5.82714,1.02024,-0.20601,7.42,-67.06,-165.27,-0.850394,0
158.459,-284.381,-5.38569,0.16677,-0.26487,9.1,-69.58,-166.67,-0.850394,0
161.297,-283.201,-5.06196,-0.35316,-0.44145,11.97,-62.51,-166.04,-0.850394,0
164.303,-291.725,-4.86576,-0.61803,-0.91233,11.9,-65.87,-164.85,-0.850394,0
167.142,-278.305,-10.7125,2.47212,-4.98348,15.12,-72.94,-167.58,-0.850394,0
169.814,-274.633,-29.0768,7.30845,-8.05401,-13.72,-91.7,-158.41,-0.850394,0
172.485,-242.896,-59.8312,10.2416,2.16801,-95.55,-68.18,-118.09,-0.850394,0
174.489,-162.332,-45.9697,17.4912,4.07115,-91.63,-28.14,-51.03,-0.850394,0
175.324,-41.4627,-15.6666,15.5587,-6.4746,-27.44,-18.2,8.4,-0.850394,0
174.823,102.575,-0.75537,12.7236,-4.44393,15.68,-12.6,58.31,-0.850394,0
