timestamp,motor_angle_L_float,motor_angle_R_float,motor_vel_L_float,motor_vel_R_float
1761533351.8069463,0.49486008286476135,0.10455198585987091,-0.011150714941322803,-0.8421213626861572
1761533351.8169487,0.49476420879364014,0.09621095657348633,-0.0,-0.8106085062026978
1761533351.8270037,0.49486008286476135,0.08834930509328842,-0.0,-0.7504915595054626
1761533351.837033,0.49476420879364014,0.08125410974025726,-0.0,-0.683587372303009
1761533351.8469045,0.49476420879364014,0.07463882118463516,-0.0,-0.6200767159461975
1761533351.8567655,0.49476420879364014,0.06898226588964462,-0.0,-0.5328102707862854
1761533351.8667433,0.49476420879364014,0.06390095502138138,-0.004848137032240629,-0.47851109504699707
1761533351.876726,0.4946683347225189,0.05968224257230759,-0.009696274064481258,-0.3791242837905884
1761533351.8870783,0.4945724606513977,0.05632666125893593,-0.0053329505026340485,-0.31270483136177063
1761533351.8970551,0.4945724606513977,0.0537380650639534,-0.0,-0.21719655394554138
1761533351.9069066,0.4945724606513977,0.05201233923435211,-0.0,-0.11150714755058289
1761533351.9168236,0.4945724606513977,0.05153296887874603,-0.0,0.0
1761533351.9270518,0.4945724606513977,0.05182059109210968,-0.0029088822193443775,0.015514038503170013
1761533351.937057,0.4943806827068329,0.05182059109210968,-0.038785096257925034,0.0
1761533351.9470575,0.49351784586906433,0.05182059109210968,-0.1362326443195343,0.0
1761533351.9570537,0.4909292459487915,0.05182059109210968,-0.3548836410045624,0.0
1761533351.9670577,0.48584794998168945,0.05182059109210968,-0.5890486240386963,0.0
1761533351.9770575,0.4789450466632843,0.052204083651304245,-0.7752171158790588,0.08629684150218964
1761533351.9870048,0.47002851963043213,0.05354631692171097,-0.9822325706481934,0.18180514872074127
1761533351.997055,0.45871540904045105,0.05671015381813049,-1.2522737979888916,0.4397260546684265
1761533352.0068774,0.4443337619304657,0.062846340239048,-1.5911585092544556,0.7597030401229858
1761533352.017003,0.42650100588798523,0.07252959907054901,-1.9319826364517212,1.1165258884429932
1761533352.027024,0.40598398447036743,0.08576018363237381,-2.1322107315063477,1.4394118785858154
1761533352.0370438,0.3845077455043793,0.10186751931905746,-2.144815683364868,1.717210054397583
1761533352.0470927,0.3634152412414551,0.11979617923498154,-2.07403302192688,1.8684719800949097
1761533352.057085,0.3434732258319855,0.13906708359718323,-1.948466181755066,1.9533144235610962
1761533352.0670862,0.32468143105506897,0.15900883078575134,-1.810779094696045,2.030399799346924
1761533352.0770733,0.30761590600013733,0.1799098551273346,-1.6066726446151733,2.114272356033325
1761533352.0869012,0.29256343841552734,0.20148172974586487,-1.3938394784927368,2.15936017036438
1761533352.0967565,0.2800993025302887,0.22324560582637787,-1.1553109884262085,2.1739046573638916
1761533352.106968,0.26964905858039856,0.245200976729393,-0.9395689368247986,2.1879642009735107
1761533352.116988,0.26130804419517517,0.26734811067581177,-0.7466131448745728,2.168571710586548
1761533352.1271124,0.2549801170825958,0.2888243496417999,-0.5914726853370667,2.0876078605651855
1761533352.1370082,0.24980293214321136,0.3092457354068756,-0.4469982087612152,1.992584228515625
1761533352.1470368,0.24606384336948395,0.32880398631095886,-0.3199770450592041,1.9111355543136597
1761533352.1570308,0.24309174716472626,0.3476916551589966,-0.28216156363487244,1.8287172317504883
1761533352.1669836,0.24021553993225098,0.3654285967350006,-0.28361600637435913,1.7336938381195068
1761533352.177088,0.23772281408309937,0.38191914558410645,-0.22592318058013916,1.610551118850708
1761533352.1871104,0.23561358451843262,0.3972589671611786,-0.22010540962219238,1.4786818027496338
1761533352.1970856,0.23331262171268463,0.41164055466651917,-0.22737762331962585,1.3797798156738281
1761533352.2070491,0.23081964254379272,0.4249670207500458,-0.2782830595970154,1.2978463172912598
1761533352.216995,0.22736819088459015,0.43752673268318176,-0.40772831439971924,1.197489857673645
1761533352.2269144,0.2227662354707718,0.44903162121772766,-0.4673604369163513,1.1262222528457642
1761533352.2368293,0.21768493950366974,0.4596741199493408,-0.5371735692024231,1.0185935497283936
1761533352.2469223,0.21212425827980042,0.46945327520370483,-0.5885637998580933,0.9269638061523438
1761533352.2570934,0.2058919221162796,0.4780818819999695,-0.6375300288200378,0.8212743997573853
1761533352.2670803,0.19908487796783447,0.485656201839447,-0.6811632513999939,0.7199483513832092
1761533352.2771432,0.1920860856771469,0.4922715127468109,-0.710736870765686,0.6200767159461975
1761533352.2870421,0.1847996860742569,0.4975445568561554,-0.7146154046058655,0.48917701840400696
1761533352.2969959,0.17789649963378906,0.5019547343254089,-0.6879506707191467,0.3854268789291382
1761533352.3070772,0.17108945548534393,0.5052149891853333,-0.6622554659843445,0.2768286168575287
1761533352.3169498,0.16447417438030243,0.5074201226234436,-0.6375300288200378,0.16774553060531616
1761533352.3270507,0.15824183821678162,0.5082829594612122,-0.6128044724464417,0.028119195252656937
1761533352.3370457,0.1522017866373062,0.5081870555877686,-0.5992296934127808,-0.015998851507902145
1761533352.346955,0.14644935727119446,0.5080912113189697,-0.5643231272697449,0.0
