timestamp,hip_angle_l,hip_angle_r,hip_angle_l_velocity,hip_angle_r_velocity,motor_torque_L_float,motor_torque_R_float,torque_L,torque_R
1762220177.5618925,0.5569874048233032,-0.12305589020252228,0.11587047576904297,-0.8358188271522522,0.0,0.0,0.05999999865889549,0.07999999821186066
1762220177.572199,0.5580419898033142,-0.13063018023967743,0.07708537578582764,-0.7034647464752197,0.0,0.0,0.10999999940395355,0.10000000149011612
1762220177.5821602,0.5583295822143555,-0.1370537281036377,-0.0,-0.6016538143157959,0.0,0.0,0.07999999821186066,0.1599999964237213
1762220177.5918467,0.5583295822143555,-0.1424226611852646,-0.0,-0.4741477966308594,0.0,0.0,0.05999999865889549,0.10000000149011612
1762220177.6018872,0.5587130784988403,-0.14625760912895203,0.11684010922908783,-0.2996148467063904,0.0,0.0,-0.019999999552965164,0.15000000596046448
1762220177.6119363,0.5604388117790222,-0.14750398695468903,0.19537991285324097,0.04945099726319313,0.0,0.0,-0.07000000029802322,0.3499999940395355
1762220177.6221266,0.5618769526481628,-0.14539474248886108,0.09599311649799347,0.31900742650032043,0.0,0.0,-0.05000000074505806,0.3799999952316284
1762220177.6320283,0.5619727969169617,-0.14031343162059784,-0.059632085263729095,0.6767999529838562,0.0,0.0,0.019999999552965164,0.25999999046325684
1762220177.6420755,0.5603429675102234,-0.13091780245304108,-0.30203893780708313,1.1441603899002075,0.0,0.0,0.2800000011920929,0.5199999809265137
1762220177.6519592,0.5548781752586365,-0.11596095561981201,-0.7470979690551758,1.7821751832962036,0.0,0.0,0.4000000059604645,0.6200000047683716
1762220177.6619604,0.5450028777122498,-0.09343061596155167,-1.1771275997161865,2.5893900394439697,0.0,0.0,0.5099999904632568,0.8199999928474426
1762220177.671752,0.5312929153442383,-0.06294222176074982,-1.471409559249878,3.3801212310791016,0.0,0.0,0.2800000011920929,0.6499999761581421
1762220177.6819298,0.5151858329772949,-0.025167139247059822,-1.6449729204177856,4.003591537475586,0.0,0.0,0.20999999344348907,0.5799999833106995
1762220177.6920671,0.49907854199409485,0.016538497060537338,-1.5732203722000122,4.2183637619018555,0.0,0.0,0.12999999523162842,0.41999998688697815
1762220177.7018855,0.4842180907726288,0.05939462035894394,-1.4238978624343872,4.309508800506592,0.0,0.0,-0.029999999329447746,0.05999999865889549
1762220177.7118316,0.4705078601837158,0.10234688967466354,-1.3196629285812378,4.249876976013184,0.0,0.0,-0.05999999865889549,-0.029999999329447746
1762220177.721935,0.4578525125980377,0.14443601667881012,-1.2420926094055176,4.221757888793945,0.0,0.0,-0.07999999821186066,-0.029999999329447746
1762220177.7321084,0.4454842805862427,0.18585430085659027,-1.2260937690734863,4.0772833824157715,0.0,0.0,-0.05000000074505806,-0.029999999329447746
1762220177.7421303,0.43263718485832214,0.22573833167552948,-1.336631417274475,3.9614129066467285,0.0,0.0,0.009999999776482582,-0.25999999046325684
1762220177.7521553,0.4184475839138031,0.2644718885421753,-1.4767425060272217,3.79706072807312,0.0,0.0,0.10000000149011612,-0.2199999988079071
1762220177.7620854,0.4026279151439667,0.30167144536972046,-1.6449729204177856,3.6564650535583496,0.0,0.0,0.11999999731779099,-0.1599999964237213
1762220177.772162,0.3850829601287842,0.33791252970695496,-1.8456857204437256,3.573561668395996,0.0,0.0,0.27000001072883606,-0.15000000596046448
1762220177.7821014,0.3655244708061218,0.37233150005340576,-2.048337936401367,3.362182855606079,0.0,0.0,0.0,-0.009999999776482582
